Stem_diam_mm	Ph1	Ph2	Ph3	Ph4	Ph5	Ph6	Ph7	Ph8
4.85	0	0	0	1	0	0	0	0
8.145	0	0	0	0	0	1	0	0
7.39	0	0	0	0	1	0	0	0
6.105	0	0	0	0	1	0	0	0
6.645	0	0	0	0	1	0	0	0
								
5.785	0	0	0	0	1	0	0	0
4.27	0	0	0	0	0	0	1	0
10.81	0	0	0	0	0	1	0	0
5.9	0	0	1	0	0	0	0	0
								
6.365	0	0	0	0	0	1	0	0
7.39	0	0	0	0	1	0	0	0
3.18	0	0	0	0	1	0	0	0
								
4.195	0	0	0	0	1	0	0	0
3	0	0	0	0	1	0	0	0
								
								
6.345	0	0	0	0	0	0	0	1
11.48	0	0	0	0	0	1	0	0
8.08	0	0	0	0	0	1	0	0
8.47	0	0	0	0	0	1	0	0
								
6.955	0	0	0	0	0	1	0	0
7.725	0	0	0	0	1	0	0	0
3.66	0	0	0	0	1	0	0	0
								
								
9.155	0	0	0	0	1	0	0	0
4.56	0	0	0	0	0	0	1	0
								
								
9.84	0	0	0	0	0	1	0	0
7.385	0	0	0	0	0	1	0	0
								
8.505	0	0	0	0	1	0	0	0
4.97	0	0	0	0	1	0	0	0
								
								
5.02	0	0	0	0	0	0	0	1
								
8.715	0	0	0	0	1	0	0	0
3.44	0	0	0	0	1	0	0	0
9.21	0	0	0	0	0	1	0	0
5.965	0	0	0	0	1	0	0	0
7.145	0	0	0	0	1	0	0	0
6.33	0	0	0	0	0	1	0	0
								
3.375	0	0	0	0	1	0	0	0
								
4.1	1	0	0	0	0	0	0	0
9.775	0	0	0	0	0	1	0	0
								
4.245	0	0	0	0	0	1	0	0
12.17	0	0	0	0	0	1	0	0
								
								
								
8.045	0	0	0	0	1	0	0	0
								
6.3	0	1	0	0	0	0	0	0
								
6.6	0	1	0	0	0	0	0	0
7.1	1	0	0	0	0	0	0	0
5.5	1	0	0	0	0	0	0	0
6.7	0	0	0	1	0	0	0	0
7.03	0	0	0	0	0	0	0	1
6.9	1	0	0	0	0	0	0	0
5.3	0	1	0	0	0	0	0	0
4.71	0	0	0	0	1	0	0	0
8	0	1	0	0	0	0	0	0
8.6	1	0	0	0	0	0	0	0
6.59	0	0	0	0	0	0	1	0
3.205	0	0	0	0	0	0	1	0
