Stem_diam_mm	Ph1	Ph2	Ph3	Ph4	Ph5	Ph6	Ph7	Ph8
4.295	0	0	0	0	0	0	0	1
8.865	0	0	0	0	0	1	0	0
4.585	0	0	0	0	0	0	1	0
3.69	0	0	0	0	0	0	1	0
5.9	0	0	1	0	0	0	0	0
8.2	0	1	0	0	0	0	0	0
6.98	0	0	0	0	0	1	0	0
5.1	0	0	1	0	0	0	0	0
6.2	0	1	0	0	0	0	0	0
8.3	0	1	0	0	0	0	0	0
7.07	0	1	0	0	0	0	0	0
5.785	0	0	0	0	0	1	0	0
8.3	0	0	1	0	0	0	0	0
6.985	0	0	0	0	0	0	0	1
6.9	1	0	0	0	0	0	0	0
3.32	0	0	0	0	1	0	0	0
5.8	0	1	0	0	0	0	0	0
2.86	0	0	0	0	1	0	0	0
6.6	0	1	0	0	0	0	0	0
4.84	0	0	0	0	0	0	0	1
5.9	0	0	1	0	0	0	0	0
4.935	0	0	0	0	1	0	0	0
6.145	0	0	0	0	0	0	1	0
3.955	0	0	0	0	0	0	1	0
4.61	0	0	0	0	0	0	0	1
4.875	0	0	0	0	0	1	0	0
6.2	0	0	1	0	0	0	0	0
6.395	0	0	0	0	0	1	0	0
6.55	0	0	0	0	0	0	1	0
4.65	0	0	0	1	0	0	0	0
7.7	0	0	0	1	0	0	0	0
5.8	0	1	0	0	0	0	0	0
8.2	0	0	0	1	0	0	0	0
8.2	0	1	0	0	0	0	0	0
4.4	1	0	0	0	0	0	0	0
7.2	0	0	1	0	0	0	0	0
4.7	1	0	0	0	0	0	0	0
5.4	0	1	0	0	0	0	0	0
7.56	0	0	0	0	0	0	0	1
5.715	0	0	0	0	0	1	0	0
10.865	0	0	0	0	0	1	0	0
6.975	0	0	0	0	0	0	0	1
5.82	0	0	0	0	0	0	1	0
6.115	0	0	0	0	0	1	0	0
9.105	0	0	0	0	0	1	0	0
7.7	0	1	0	0	0	0	0	0
7.85	0	0	0	1	0	0	0	0
6.51	0	1	0	0	0	0	0	0
6.505	0	0	0	0	1	0	0	0
5.3	0	0	1	0	0	0	0	0
7.8	0	0	1	0	0	0	0	0
8.85	0	0	0	1	0	0	0	0
3.625	0	0	0	0	0	0	0	1
6	0	1	0	0	0	0	0	0
5.165	0	0	0	0	0	0	0	1
6.98	0	0	0	0	0	1	0	0
								
								
6.535	0	0	0	0	0	0	0	1
								
6.66	0	0	0	0	1	0	0	0
8.365	0	0	0	0	0	1	0	0
								
								
5.535	0	0	0	0	0	0	0	1
7.285	0	0	0	0	0	1	0	0
								
3.21	0	0	0	0	0	1	0	0
								
4.9	1	0	0	0	0	0	0	0
								
5.505	0	0	0	0	0	0	0	1
6.44	0	0	0	0	0	0	1	0
8.9	0	1	0	0	0	0	0	0
7.105	0	0	0	0	0	1	0	0
4.7	0	0	1	0	0	0	0	0
4.065	0	0	0	0	0	0	0	1
5.605	0	0	0	0	0	0	1	0
5.7	0	0	0	1	0	0	0	0
7.2	1	0	0	0	0	0	0	0
8.1	1	0	0	0	0	0	0	0
5.155	0	0	0	0	0	0	1	0
7.295	0	0	0	0	0	0	0	1
6.78	0	0	0	0	0	0	0	1
6.385	0	0	0	0	0	1	0	0
6.4	1	0	0	0	0	0	0	0
10.23	0	0	0	0	0	1	0	0
6.065	0	0	0	0	0	0	1	0
3.7	0	0	1	0	0	0	0	0
6.3	1	0	0	0	0	0	0	0
5.3	1	0	0	0	0	0	0	0
								
6.9	0	1	0	0	0	0	0	0
7	0	0	0	1	0	0	0	0
5.4	0	1	0	0	0	0	0	0
6.045	0	0	0	0	0	0	0	1
8.185	0	0	0	0	0	0	1	0
5.6	0	1	0	0	0	0	0	0
6.925	0	0	0	0	1	0	0	0
6.185	0	0	0	0	1	0	0	0
6.92	0	0	0	0	0	0	1	0
6.105	0	0	0	0	0	0	1	0
7.11	0	0	0	0	0	0	0	1
4.965	0	0	0	0	0	1	0	0
6.95	0	0	0	1	0	0	0	0
5.865	0	0	0	0	1	0	0	0
6.2	1	0	0	0	0	0	0	0
7.645	0	0	0	0	0	1	0	0
4.62	0	0	0	0	0	1	0	0
6.2	0	0	1	0	0	0	0	0
7.9	0	0	0	1	0	0	0	0
6.4	0	0	1	0	0	0	0	0
5.69	0	1	0	0	0	0	0	0
6.77	0	0	0	0	0	0	0	1
6.66	0	0	0	0	0	0	1	0
7.855	0	0	0	0	0	0	0	1
4.58	0	0	0	0	0	0	1	0
8.48	0	0	0	0	0	0	0	1
4.72	0	0	0	0	0	1	0	0
6.18	0	0	0	0	0	0	0	1
6.5	1	0	0	0	0	0	0	0
10.46	0	0	0	0	0	1	0	0
7.17	0	0	0	0	0	0	0	1
4.725	0	0	0	0	0	0	1	0
5.9	1	0	0	0	0	0	0	0
4.71	0	0	0	0	0	1	0	0
7.3	0	0	0	0	0	0	0	1
5.61	0	1	0	0	0	0	0	0
6.8	0	1	0	0	0	0	0	0
7.1	0	1	0	0	0	0	0	0
8.445	0	0	0	0	0	1	0	0
5	0	1	0	0	0	0	0	0
7.6	0	0	0	0	0	0	0	1
6.6	0	1	0	0	0	0	0	0
5.575	0	0	0	0	0	0	1	0
7.8	1	0	0	0	0	0	0	0
6.68	0	0	0	0	0	0	0	1
8.3	0	1	0	0	0	0	0	0
11.01	0	0	0	0	0	1	0	0
8.085	0	0	0	0	0	1	0	0
7.06	0	0	0	0	0	1	0	0
6.995	0	0	0	0	0	0	0	1
5.995	0	0	0	0	0	1	0	0
6.175	0	0	0	0	0	0	1	0
10.92	0	0	0	0	0	1	0	0
6.2	0	0	0	0	0	1	0	0
7.6	0	0	1	0	0	0	0	0
8.18	0	0	0	0	0	0	1	0
5.795	0	0	0	0	0	0	0	1
8.38	0	0	0	0	0	0	0	1
7.78	0	0	0	0	0	0	1	0
6.76	0	0	0	0	0	0	0	1
6	0	0	0	1	0	0	0	0
4.5	0	0	0	1	0	0	0	0
8.18	0	0	0	0	0	0	0	1
4.8	0	0	0	1	0	0	0	0
7.4	0	0	0	0	0	0	0	1
6	0	1	0	0	0	0	0	0
8.325	0	0	0	0	0	0	1	0
6.6	0	0	1	0	0	0	0	0
5.6	0	1	0	0	0	0	0	0
7.545	0	0	0	0	0	1	0	0
6.1	1	0	0	0	0	0	0	0
2.8	1	0	0	0	0	0	0	0
8.955	0	0	0	0	1	0	0	0
7.73	0	0	0	0	0	0	0	1
7.495	0	0	0	0	0	1	0	0
4.205	0	0	0	0	1	0	0	0
5.3	1	0	0	0	0	0	0	0
4.775	0	0	0	0	0	0	1	0
6.185	0	0	0	0	1	0	0	0
7.2	0	0	1	0	0	0	0	0
5.57	0	0	0	0	0	0	0	1
								
								
								
								
								
								
								
								
								
								
								
7.45	0	0	0	0	0	0	0	1
								
4.8	1	0	0	0	0	0	0	0
								
								
8.125	0	0	0	0	0	1	0	0
5.88	0	0	0	0	0	1	0	0
3.38	0	0	0	0	0	0	0	1
8.025	0	0	0	0	0	1	0	0
4.815	0	0	0	0	0	0	0	1
3.775	0	0	0	0	0	0	1	0
5.88	0	0	0	0	1	0	0	0
5.45	0	0	0	0	0	0	1	0
5.6	0	0	0	0	0	0	0	1
7.4	0	1	0	0	0	0	0	0
5.7	0	1	0	0	0	0	0	0
6.6	1	0	0	0	0	0	0	0
4.115	0	0	0	0	1	0	0	0
5.7	1	0	0	0	0	0	0	0
6.335	0	0	0	0	0	0	0	1
5.095	0	0	0	0	0	0	0	1
5.32	0	0	0	0	0	0	1	0
7.07	0	0	0	0	0	0	0	1
5.44	0	1	0	0	0	0	0	0
4.57	0	0	0	0	1	0	0	0
4.62	0	1	0	0	0	0	0	0
3.155	0	0	0	0	0	0	1	0
8.1	0	0	0	0	0	1	0	0
5.5	0	0	1	0	0	0	0	0
5.1	1	0	0	0	0	0	0	0
8.3	0	1	0	0	0	0	0	0
7.17	0	0	0	0	0	0	0	1
7.7	1	0	0	0	0	0	0	0
5.17	0	0	0	0	0	0	0	1
6.7	0	1	0	0	0	0	0	0
8.12	0	1	0	0	0	0	0	0
5.3	1	0	0	0	0	0	0	0
6.695	0	0	0	0	0	1	0	0
6.4	1	0	0	0	0	0	0	0
0.6	0	0	1	0	0	0	0	0
5.85	0	0	0	1	0	0	0	0
8.53	0	0	0	0	0	1	0	0
8.245	0	0	0	0	0	0	0	1
3.625	0	0	0	0	0	0	0	1
6	0	0	1	0	0	0	0	0
7.2	0	1	0	0	0	0	0	0
5.28	0	0	0	0	0	0	1	0
6.3	0	1	0	0	0	0	0	0
7.44	0	0	0	0	0	0	0	1
5.76	0	0	0	0	1	0	0	0
4.73	0	0	0	0	0	1	0	0
8.09	0	1	0	0	0	0	0	0
8.805	0	0	0	0	0	1	0	0
4.6	0	1	0	0	0	0	0	0
6.9	0	0	1	0	0	0	0	0
6.6	0	1	0	0	0	0	0	0
								
7.29	0	0	0	0	0	0	0	1
9.095	0	0	0	0	0	0	0	1
8.5	0	1	0	0	0	0	0	0
7.42	0	1	0	0	0	0	0	0
8.06	0	0	0	0	0	0	0	1
3.9	1	0	0	0	0	0	0	0
7.49	0	0	0	0	0	0	1	0
4.46	0	0	0	0	0	0	0	1
4.9	0	1	0	0	0	0	0	0
6.215	0	0	0	0	0	0	0	1
8.145	0	0	0	0	0	1	0	0
8.3	1	0	0	0	0	0	0	0
6.065	0	0	0	0	0	0	1	0
9.3	1	0	0	0	0	0	0	0
5.25	0	0	0	1	0	0	0	0
10.365	0	0	0	0	0	1	0	0
7.14	0	0	0	0	0	1	0	0
3.795	0	0	0	0	1	0	0	0
7.6	0	0	0	1	0	0	0	0
3.1	0	0	1	0	0	0	0	0
5.935	0	0	0	0	0	0	1	0
6.03	0	0	0	0	0	0	0	1
6.1	0	0	1	0	0	0	0	0
								
5.8	1	0	0	0	0	0	0	0
7.3	0	1	0	0	0	0	0	0
6.33	0	0	0	0	1	0	0	0
7.995	0	0	0	0	0	0	0	1
6.895	0	0	0	0	0	0	0	1
2.77	0	0	0	0	0	1	0	0
4.775	0	0	0	0	0	0	0	1
6.1	0	0	1	0	0	0	0	0
5.05	0	0	0	1	0	0	0	0
7.4	1	0	0	0	0	0	0	0
7.6	0	0	1	0	0	0	0	0
6.7	1	0	0	0	0	0	0	0
4.585	0	0	0	0	0	0	0	1
6.3	1	0	0	0	0	0	0	0
2.815	0	0	0	0	0	0	1	0
9.995	0	0	0	0	0	1	0	0
6.055	0	0	0	0	0	0	1	0
6.405	0	0	0	0	0	0	0	1
4.5	1	0	0	0	0	0	0	0
5.86	0	0	0	0	0	0	0	1
5.3	0	0	0	0	0	0	0	1
6.5	0	0	0	1	0	0	0	0
7.9	0	1	0	0	0	0	0	0
8.7	0	1	0	0	0	0	0	0
6.7	0	0	0	1	0	0	0	0
5.05	0	0	0	1	0	0	0	0
4.6	1	0	0	0	0	0	0	0
7.44	0	0	0	0	1	0	0	0
6	0	0	1	0	0	0	0	0
6.51	0	0	0	0	0	0	1	0
5	0	0	0	1	0	0	0	0
5.11	0	0	0	0	0	0	1	0
5.165	0	0	0	0	1	0	0	0
6.2	0	0	1	0	0	0	0	0
6.7	0	0	1	0	0	0	0	0
6.885	0	0	0	0	0	1	0	0
7.855	0	0	0	0	0	0	0	1
5.18	0	0	0	0	0	0	0	1
9.75	0	0	0	0	0	1	0	0
7.22	0	0	0	0	1	0	0	0
7.3	0	0	1	0	0	0	0	0
8.305	0	0	0	0	0	0	1	0
2.88	0	0	0	0	0	0	0	1
8.095	0	0	0	0	0	0	0	1
7.785	0	0	0	0	1	0	0	0
5.41	0	0	0	0	0	1	0	0
5.355	0	0	0	0	0	1	0	0
5.15	0	0	0	1	0	0	0	0
6.5	0	1	0	0	0	0	0	0
8.12	0	1	0	0	0	0	0	0
7.8	0	0	0	0	0	1	0	0
7.5	0	1	0	0	0	0	0	0
7.4	0	1	0	0	0	0	0	0
5.68	0	0	0	0	0	0	0	1
7.9	1	0	0	0	0	0	0	0
5.075	0	0	0	0	0	0	0	1
5.36	0	0	0	0	0	1	0	0
8	0	0	0	1	0	0	0	0
5.5	0	0	1	0	0	0	0	0
5.1	0	0	1	0	0	0	0	0
7.5	1	0	0	0	0	0	0	0
7.78	0	0	0	0	0	1	0	0
5.6	0	0	0	1	0	0	0	0
4.09	0	0	0	0	0	0	0	1
7.785	0	0	0	0	0	0	0	1
4.6	1	0	0	0	0	0	0	0
4.87	0	0	0	0	0	1	0	0
7.2	0	1	0	0	0	0	0	0
4.4	0	0	1	0	0	0	0	0
5.055	0	0	0	0	0	0	0	1
7.405	0	0	0	0	0	0	1	0
7.255	0	0	0	0	0	1	0	0
5.9	0	0	1	0	0	0	0	0
6.235	0	0	0	0	0	0	1	0
7	0	1	0	0	0	0	0	0
5.71	0	0	0	0	0	0	1	0
5.5	0	0	1	0	0	0	0	0
6.46	0	0	0	0	1	0	0	0
5.2	0	0	0	0	0	0	0	1
5.645	0	0	0	0	0	0	0	1
5.55	0	0	0	1	0	0	0	0
3.62	0	0	0	0	0	0	0	1
6.38	0	0	0	0	0	0	1	0
3.205	0	0	0	0	0	0	0	1
5.175	0	0	0	0	0	0	0	1
6.975	0	0	0	0	1	0	0	0
6.795	0	0	0	0	0	1	0	0
4	0	0	0	0	1	0	0	0
6.6	0	1	0	0	0	0	0	0
5.85	0	0	0	1	0	0	0	0
5.035	0	0	0	0	0	1	0	0
4.88	0	0	0	0	0	0	0	1
4.7	0	1	0	0	0	0	0	0
8.575	0	0	0	0	0	0	0	1
3.25	0	0	0	1	0	0	0	0
7.9	0	0	1	0	0	0	0	0
5.545	0	0	0	0	1	0	0	0
3.78	0	0	0	0	0	0	1	0
3.325	0	0	0	0	0	0	0	1
4.085	0	0	0	0	0	0	0	1
5.43	0	0	0	0	0	0	0	1
6.595	0	0	0	0	0	0	0	1
5.66	0	0	0	0	0	0	1	0
6.94	0	1	0	0	0	0	0	0
3.1	0	0	0	1	0	0	0	0
4.705	0	0	0	0	0	0	1	0
6.5	0	0	1	0	0	0	0	0
5.175	0	0	0	0	1	0	0	0
6.45	0	0	0	1	0	0	0	0
6.12	0	0	0	0	0	0	0	1
4.4	1	0	0	0	0	0	0	0
3.705	0	0	0	0	1	0	0	0
4.375	0	0	0	0	0	0	1	0
5.66	0	0	0	0	0	0	0	1
4.085	0	0	0	0	0	0	1	0
6.8	0	0	1	0	0	0	0	0
4.95	0	0	0	0	0	0	0	1
8.6	0	1	0	0	0	0	0	0
6.01	0	0	0	0	0	0	0	1
6	0	1	0	0	0	0	0	0
4.37	0	0	0	0	0	0	0	1
5.6	1	0	0	0	0	0	0	0
6.8	0	0	1	0	0	0	0	0
5.79	0	1	0	0	0	0	0	0
6.9	0	0	0	1	0	0	0	0
3.63	0	0	0	0	0	0	1	0
5.88	0	0	0	0	0	1	0	0
7.79	0	0	0	0	0	0	0	1
6.5	0	1	0	0	0	0	0	0
6.2	1	0	0	0	0	0	0	0
4.68	0	0	0	0	0	0	1	0
9.3	0	0	1	0	0	0	0	0
5.08	0	0	0	0	0	0	1	0
6.68	0	0	0	0	0	0	0	1
2.9	0	0	1	0	0	0	0	0
5.65	0	0	0	1	0	0	0	0
5.25	0	1	0	0	0	0	0	0
4.79	0	0	0	0	0	0	0	1
8.2	0	0	1	0	0	0	0	0
7.25	0	0	0	0	0	0	0	1
7.46	0	0	0	0	0	0	0	1
3.5	0	1	0	0	0	0	0	0
7.25	0	0	0	0	0	0	0	1
5.68	0	0	0	0	1	0	0	0
8	1	0	0	0	0	0	0	0
3.5	0	0	1	0	0	0	0	0
5	0	0	1	0	0	0	0	0
5.4	0	0	0	0	0	1	0	0
6.4	0	0	1	0	0	0	0	0
7.46	0	0	0	0	0	0	0	1
4.05	0	0	0	1	0	0	0	0
5.4	1	0	0	0	0	0	0	0
6.3	0	0	1	0	0	0	0	0
7	1	0	0	0	0	0	0	0
5.75	0	0	0	0	0	0	1	0
5.1	0	0	1	0	0	0	0	0
5.675	0	0	0	0	1	0	0	0
4.425	0	0	0	0	0	1	0	0
4.86	0	0	0	0	0	1	0	0
5.2	1	0	0	0	0	0	0	0
8.415	0	0	0	0	0	1	0	0
4.6	0	0	1	0	0	0	0	0
9.26	0	0	0	0	0	1	0	0
6.2	0	0	0	1	0	0	0	0
7.25	0	0	0	1	0	0	0	0
6.2	0	0	1	0	0	0	0	0
8.53	0	0	0	0	0	0	0	1
7.5	1	0	0	0	0	0	0	0
4.6	0	0	1	0	0	0	0	0
6.2	0	0	1	0	0	0	0	0
7.2	0	0	1	0	0	0	0	0
7.015	0	0	0	0	0	1	0	0
9.2	1	0	0	0	0	0	0	0
6.3	0	1	0	0	0	0	0	0
5.8	0	0	1	0	0	0	0	0
3.7	0	0	1	0	0	0	0	0
4.56	0	0	0	0	1	0	0	0
6.3	0	1	0	0	0	0	0	0
4.715	0	0	0	0	0	1	0	0
4.1	1	0	0	0	0	0	0	0
6.135	0	0	0	0	1	0	0	0
7.7	0	0	1	0	0	0	0	0
4.65	0	0	0	0	1	0	0	0
5.8	1	0	0	0	0	0	0	0
5.735	0	0	0	0	0	0	0	1
								
6.6	1	0	0	0	0	0	0	0
7.3	0	0	0	1	0	0	0	0
5.5	0	1	0	0	0	0	0	0
4.8	0	0	1	0	0	0	0	0
								
5.3	1	0	0	0	0	0	0	0
9.575	0	0	0	0	0	1	0	0
5.8	0	0	0	0	0	1	0	0
6.26	0	0	0	0	0	1	0	0
5	0	1	0	0	0	0	0	0
5.415	0	0	0	0	0	0	1	0
8.13	0	0	0	0	0	0	1	0
7.085	0	0	0	0	0	0	1	0
5.695	0	0	0	0	0	1	0	0
8.5	0	0	0	1	0	0	0	0
6.5	0	1	0	0	0	0	0	0
7.765	0	0	0	0	1	0	0	0
6.9	0	0	1	0	0	0	0	0
5.975	0	0	0	0	0	1	0	0
5.7	0	0	1	0	0	0	0	0
9.515	0	0	0	0	0	1	0	0
5.525	0	0	0	0	0	0	0	1
4.5	0	0	0	1	0	0	0	0
6.735	0	0	0	0	0	1	0	0
8.805	0	0	0	0	0	0	1	0
3.58	0	1	0	0	0	0	0	0
7.375	0	0	0	0	0	1	0	0
4.9	1	0	0	0	0	0	0	0
5.7	1	0	0	0	0	0	0	0
4.695	0	0	0	0	1	0	0	0
5.4	0	1	0	0	0	0	0	0
9.38	0	0	0	0	0	1	0	0
4.9	1	0	0	0	0	0	0	0
7.7	1	0	0	0	0	0	0	0
4.4	0	1	0	0	0	0	0	0
6.7	1	0	0	0	0	0	0	0
5.4	0	1	0	0	0	0	0	0
5.3	0	0	0	1	0	0	0	0
7.6	1	0	0	0	0	0	0	0
5.28	0	0	0	0	1	0	0	0
6.33	0	0	0	0	0	0	0	1
6.03	0	1	0	0	0	0	0	0
8.68	0	0	0	0	0	0	1	0
6.9	0	0	1	0	0	0	0	0
6.4	0	0	1	0	0	0	0	0
7.2	1	0	0	0	0	0	0	0
6.86	0	1	0	0	0	0	0	0
10.9	0	0	0	1	0	0	0	0
6.9	0	0	1	0	0	0	0	0
3.855	0	0	0	0	0	0	0	1
5.22	0	0	0	0	0	0	1	0
3.105	0	0	0	0	1	0	0	0
4.9	0	0	1	0	0	0	0	0
4.9	0	0	0	1	0	0	0	0
4.235	0	0	0	0	0	0	0	1
7.2	0	0	1	0	0	0	0	0
4.77	0	0	0	0	1	0	0	0
6.6	0	0	1	0	0	0	0	0
5.4	0	1	0	0	0	0	0	0
4.9	0	0	1	0	0	0	0	0
								
								
								
5.11	0	1	0	0	0	0	0	0
4.4	0	1	0	0	0	0	0	0
3.975	0	0	0	0	0	0	0	1
4.145	0	0	0	0	0	0	1	0
8	1	0	0	0	0	0	0	0
6.7	1	0	0	0	0	0	0	0
4.485	0	0	0	0	0	0	0	1
7.38	0	0	0	0	0	0	1	0
6.4	0	0	0	0	0	1	0	0
7.5	0	0	1	0	0	0	0	0
6.9	0	0	0	0	1	0	0	0
4.4	0	0	1	0	0	0	0	0
7.1	1	0	0	0	0	0	0	0
5.01	0	0	0	0	0	0	1	0
7.95	0	0	0	1	0	0	0	0
7.38	0	0	0	0	0	1	0	0
6.4	0	0	0	0	0	0	1	0
6.29	0	0	0	0	0	0	0	1
5.5	0	0	1	0	0	0	0	0
7.965	0	0	0	0	0	0	0	1
7.05	0	0	0	0	0	0	0	1
5.69	0	0	0	0	1	0	0	0
4.45	0	0	0	1	0	0	0	0
5.7	0	1	0	0	0	0	0	0
7.585	0	0	0	0	0	0	0	1
6.4	0	1	0	0	0	0	0	0
5.605	0	0	0	0	0	0	1	0
8.915	0	0	0	0	0	0	1	0
10.375	0	0	0	0	0	1	0	0
								
8.705	0	0	0	0	0	1	0	0
8.44	0	1	0	0	0	0	0	0
7.1	0	1	0	0	0	0	0	0
5.855	0	0	0	0	0	0	0	1
5.7	0	0	1	0	0	0	0	0
5.9	0	0	0	1	0	0	0	0
5.395	0	0	0	0	0	0	0	1
6.075	0	0	0	0	0	0	0	1
7.1	0	1	0	0	0	0	0	0
5.5	0	1	0	0	0	0	0	0
5.39	0	0	0	0	0	0	0	1
8.2	0	1	0	0	0	0	0	0
5.7	0	1	0	0	0	0	0	0
4.565	0	0	0	0	1	0	0	0
5	0	1	0	0	0	0	0	0
5.42	0	0	0	0	1	0	0	0
5.5	1	0	0	0	0	0	0	0
5.2	0	0	0	0	0	0	1	0
6.01	0	1	0	0	0	0	0	0
5.3	1	0	0	0	0	0	0	0
5.3	0	0	1	0	0	0	0	0
6.83	0	0	0	0	0	0	1	0
6.115	0	0	0	0	0	1	0	0
								
								
4.675	0	0	0	0	0	0	1	0
6.6	0	0	1	0	0	0	0	0
7.555	0	0	0	0	0	0	0	1
5.825	0	0	0	0	1	0	0	0
9.36	0	1	0	0	0	0	0	0
3.18	0	0	0	0	1	0	0	0
